username,viewed_videos
itmo413074,12
itmo413080,1
itmo413082,12
itmo413085,6
itmo413093,11
itmo413098,4
itmo413100,12
itmo413101,17
itmo413114,12
itmo413469,12
itmo413476,14
itmo413744,17
itmo413758,8
itmo413768,8
itmo413770,12
itmo413771,7
itmo413772,4
itmo413774,1
itmo413775,17
itmo413787,4
itmo413788,6
itmo413793,12
itmo413797,6
itmo413804,4
itmo413805,17
itmo413831,17
itmo414238,12
itmo414239,17
itmo414248,12
itmo414254,12
itmo414256,10
itmo414271,5
itmo414280,12
itmo414366,5
itmo414410,12
itmo414753,1
itmo436309,1
itmo436509,3
itmo439509,10
jemappellesasha,6
juliako555@icloud.com,3
kamyevans,8
katya_sha,17
katyabichurina,5
konstantin2131,12
lllsh24,12
lpolagaev,4
m_yutman,17
mahortovarigina,1
maksmac05,12
mariaparusova,12
mashapshacieva,17
medovik738906,5
mfclabber,12
mishkurovamasha,2
n_ogil_,11
ohnomash,8
ole52525218,12
olluav,3
paradisemansi,17
pshvets2719,17
robertseliverstov,12
sandrabosa,13
shav_aslan,17
shmonyas,6
st070645,5
tekeshi,11
vasiliev_evgeniy,17
xoxoxxoxo,4
zharkynai,2
